,clone_1,clone_2,clone_3,clone_4,clone_5,clone_6,clone_7,clone_8,clone_9,clone_10,clone_11,clone_12,clone_13,clone_14,clone_15,clone_16,clone_17,clone_18,clone_19,clone_20,clone_21,clone_22,clone_23,clone_24,clone_25,clone_26,clone_27,clone_28,clone_29,clone_30,clone_31,clone_32,clone_33,clone_34,clone_35,clone_36,clone_37,clone_38,clone_39,clone_40,clone_41,clone_42,clone_43,clone_44,clone_45,clone_46,clone_47,clone_48,clone_49,clone_50,clone_51,clone_52,clone_53,clone_54,clone_55,clone_56,clone_57,clone_58,clone_59,clone_60,clone_61,clone_62,clone_63,clone_64,clone_65,clone_66,clone_67,clone_68,clone_69,clone_70
LT_S13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LT_S21,0.133616118769883,0.0095440084835631,0.240721102863203,0.00106044538706257,0.0901378579003181,0.134676564156946,0.0116648992576882,0.123011664899258,0.0265111346765642,0.0190880169671262,0.120890774125133,0.00106044538706257,0.0307529162248144,0.0339342523860021,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00212089077412513,0.00106044538706257,0.0063626723223754,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00106044538706257,0.00106044538706257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S34,0.0869565217391304,0.260869565217391,0.260869565217391,0.217391304347826,0.0869565217391304,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S41,0.2,0.266666666666667,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S42,0,0.25,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S43,0.2,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S47,0.00561797752808989,0.0730337078651685,0.0168539325842697,0.162921348314607,0.0168539325842697,0.0224719101123595,0.0786516853932584,0.134831460674157,0.00561797752808989,0.0449438202247191,0.00561797752808989,0.00561797752808989,0.0786516853932584,0.00561797752808989,0.00561797752808989,0.0112359550561798,0.0224719101123595,0.00561797752808989,0.00561797752808989,0.0112359550561798,0.00561797752808989,0.00561797752808989,0.0337078651685393,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.0112359550561798,0.00561797752808989,0.0168539325842697,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.0280898876404494,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.0112359550561798,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0.00561797752808989,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S48,0.294117647058824,0.0588235294117647,0.0588235294117647,0.117647058823529,0.0588235294117647,0.0588235294117647,0.117647058823529,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S49,0.166666666666667,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S50,0.0476190476190476,0.333333333333333,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.142857142857143,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT_S51,0.4375,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
